kommun;year;status
0484;2023;shortage
0486;2023;shortage
0488;2023;shortage
0509;2023;shortage
0512;2023;balance
0513;2023;balance
0560;2023;shortage
0561;2023;shortage
0562;2023;shortage
0563;2023;shortage
0580;2023;shortage
0581;2023;shortage
0582;2023;shortage
0583;2023;shortage
0584;2023;shortage
0586;2023;shortage
0604;2023;balance
0617;2023;shortage
0642;2023;shortage
0643;2023;shortage
0662;2023;balance
0665;2023;shortage
0680;2023;shortage
0682;2023;balance
0683;2023;balance
0684;2023;balance
0685;2023;shortage
0686;2023;shortage
0687;2023;shortage
0760;2023;shortage
0761;2023;balance
0763;2023;balance
0764;2023;balance
0765;2023;shortage
0767;2023;balance
0780;2023;balance
0781;2023;balance
0821;2023;balance
0834;2023;balance
0840;2023;shortage
0860;2023;shortage
0861;2023;balance
0862;2023;shortage
0880;2023;shortage
0881;2023;balance
0882;2023;balance
0883;2023;balance
0884;2023;surplus
0885;2023;shortage
0980;2023;shortage
1060;2023;balance
1080;2023;shortage
1081;2023;balance
1082;2023;shortage
1083;2023;shortage
1214;2023;shortage
1230;2023;shortage
1231;2023;shortage
1233;2023;shortage
1256;2023;balance
1257;2023;balance
1260;2023;shortage
1261;2023;shortage
1262;2023;shortage
1263;2023;shortage
1264;2023;shortage
1265;2023;shortage
1266;2023;balance
1267;2023;shortage
1270;2023;balance
1272;2023;shortage
1273;2023;balance
1275;2023;balance
1276;2023;balance
1277;2023;shortage
1278;2023;shortage
1280;2023;shortage
1281;2023;shortage
1282;2023;shortage
1283;2023;shortage
1284;2023;shortage
1285;2023;shortage
1286;2023;shortage
1287;2023;shortage
1290;2023;balance
1291;2023;shortage
1292;2023;shortage
1293;2023;balance
1315;2023;balance
1380;2023;shortage
1381;2023;balance
1382;2023;balance
1383;2023;shortage
1384;2023;shortage
1401;2023;shortage
1402;2023;shortage
1407;2023;shortage
1415;2023;shortage
1419;2023;shortage
1421;2023;shortage
1427;2023;shortage
1430;2023;balance
1435;2023;shortage
1438;2023;balance
1439;2023;shortage
1440;2023;shortage
1441;2023;shortage
1442;2023;shortage
1444;2023;shortage
1445;2023;shortage
1446;2023;balance
1447;2023;shortage
1452;2023;balance
1460;2023;shortage
1461;2023;balance
1462;2023;shortage
1463;2023;shortage
1465;2023;balance
1466;2023;shortage
1470;2023;shortage
1471;2023;shortage
1472;2023;shortage
1473;2023;shortage
1480;2023;shortage
1481;2023;balance
1482;2023;shortage
1484;2023;shortage
1485;2023;balance
1486;2023;balance
1487;2023;balance
1488;2023;shortage
1489;2023;shortage
1490;2023;shortage
1491;2023;balance
1492;2023;balance
1493;2023;balance
1494;2023;shortage
1495;2023;balance
1496;2023;balance
1497;2023;shortage
1498;2023;balance
1499;2023;shortage
1715;2023;shortage
1730;2023;balance
1737;2023;shortage
1760;2023;balance
1761;2023;shortage
1762;2023;balance
1763;2023;balance
1764;2023;shortage
1765;2023;surplus
1766;2023;balance
1780;2023;balance
1781;2023;shortage
1782;2023;surplus
1783;2023;balance
1784;2023;balance
1785;2023;balance
1814;2023;shortage
1860;2023;surplus
1861;2023;shortage
1862;2023;balance
1863;2023;surplus
1864;2023;surplus
1880;2023;shortage
1881;2023;balance
1882;2023;shortage
1883;2023;shortage
1884;2023;balance
1885;2023;balance
1904;2023;balance
1907;2023;shortage
1960;2023;shortage
1961;2023;shortage
1962;2023;shortage
1980;2023;shortage
1981;2023;shortage
1982;2023;shortage
1983;2023;balance
1984;2023;balance
2021;2023;shortage
2023;2023;shortage
2026;2023;shortage
2029;2023;shortage
2031;2023;shortage
2034;2023;balance
2039;2023;balance
2061;2023;balance
2062;2023;shortage
2080;2023;shortage
2081;2023;balance
2082;2023;shortage
2083;2023;balance
2084;2023;shortage
2085;2023;balance
2101;2023;surplus
2104;2023;shortage
2121;2023;balance
2132;2023;shortage
2161;2023;balance
2180;2023;shortage
2181;2023;shortage
2182;2023;balance
2183;2023;balance
2184;2023;shortage
2260;2023;shortage
2262;2023;balance
2280;2023;balance
2281;2023;shortage
2282;2023;shortage
2283;2023;surplus
2284;2023;shortage
2303;2023;balance
2305;2023;balance
2309;2023;balance
2313;2023;surplus
2321;2023;shortage
2326;2023;shortage
2361;2023;balance
2380;2023;balance
2401;2023;shortage
2403;2023;shortage
2404;2023;shortage
2409;2023;shortage
2417;2023;shortage
2418;2023;balance
2421;2023;balance
2422;2023;balance
2425;2023;shortage
2460;2023;shortage
2462;2023;balance
2463;2023;balance
2480;2023;shortage
2481;2023;surplus
2482;2023;shortage
2505;2023;balance
2506;2023;balance
2510;2023;balance
2513;2023;balance
2514;2023;shortage
2518;2023;surplus
2521;2023;balance
2523;2023;shortage
2560;2023;shortage
2580;2023;shortage
2581;2023;shortage
2582;2023;shortage
2583;2023;surplus
2584;2023;shortage
0114;2024;shortage
0115;2024;shortage
0117;2024;shortage
0120;2024;shortage
0123;2024;shortage
0125;2024;shortage
0126;2024;shortage
0127;2024;shortage
0128;2024;shortage
0136;2024;shortage
0138;2024;shortage
0139;2024;shortage
0140;2024;balance
0160;2024;shortage
0162;2024;shortage
0163;2024;shortage
0180;2024;shortage
0181;2024;shortage
0182;2024;shortage
0183;2024;shortage
0184;2024;shortage
0186;2024;shortage
0187;2024;shortage
0188;2024;shortage
0191;2024;shortage
0192;2024;balance
0305;2024;shortage
0319;2024;shortage
0330;2024;shortage
0331;2024;shortage
0360;2024;shortage
0380;2024;shortage
0381;2024;balance
0382;2024;shortage
0428;2024;shortage
0461;2024;shortage
0480;2024;balance
0481;2024;balance
0482;2024;surplus
0483;2024;balance
0484;2024;surplus
0486;2024;balance
0488;2024;shortage
0509;2024;shortage
0512;2024;surplus
0513;2024;balance
0560;2024;shortage
0561;2024;balance
0562;2024;shortage
0563;2024;balance
0580;2024;shortage
