kommun;period;key;count;per100k
0117;2016;vandalism;753;1763.0
0117;2017;burglary;330;755.0
0117;2017;drugs_weapons;244;558.0
0117;2017;person;797;1823.0
0117;2017;theft;1743;3988.0
0117;2017;total;4474;10235.0
0117;2017;vandalism;891;2038.0
0117;2018;burglary;235;528.0
0117;2018;drugs_weapons;224;504.0
0117;2018;person;695;1562.0
0117;2018;theft;1331;2992.0
0117;2018;total;3398;7639.0
0117;2018;vandalism;425;955.0
0117;2019;burglary;224;496.0
0117;2019;drugs_weapons;231;511.0
0117;2019;person;748;1655.0
0117;2019;theft;1351;2989.0
0117;2019;total;3760;8318.0
0117;2019;vandalism;531;1175.0
0117;2020;burglary;290;629.0
0117;2020;drugs_weapons;274;594.0
0117;2020;person;842;1826.0
0117;2020;theft;1358;2945.0
0117;2020;total;3948;8562.0
0117;2020;vandalism;611;1325.0
0117;2021;burglary;183;386.0
0117;2021;drugs_weapons;204;430.0
0117;2021;person;811;1710.0
0117;2021;theft;1181;2490.0
0117;2021;total;3744;7892.0
0117;2021;vandalism;758;1598.0
0117;2022;burglary;165;339.0
0117;2022;drugs_weapons;220;452.0
0117;2022;person;800;1643.0
0117;2022;theft;1068;2194.0
0117;2022;total;3519;7228.0
0117;2022;vandalism;542;1113.0
0117;2023;burglary;167;339.0
0117;2023;drugs_weapons;268;544.0
0117;2023;person;803;1632.0
0117;2023;theft;1122;2280.0
0117;2023;total;3696;7511.0
0117;2023;vandalism;531;1079.0
0117;2024;burglary;167;337.0
0117;2024;drugs_weapons;280;565.0
0117;2024;person;1040;2100.0
0117;2024;theft;1039;2098.0
0117;2024;total;4632;9352.0
0117;2024;vandalism;791;1597.0
0117;2025;burglary;142;285.0
0117;2025;drugs_weapons;173;347.0
0117;2025;person;986;1977.0
0117;2025;theft;943;1891.0
0117;2025;total;4315;8653.0
0117;2025;vandalism;601;1205.0
0120;1996;burglary;610;2265.0
0120;1996;drugs_weapons;62;231.0
0120;1996;person;356;1322.0
0120;1996;theft;1657;6152.0
0120;1996;total;2529;9390.0
0120;1996;vandalism;262;973.0
0120;1997;burglary;700;2514.0
0120;1997;drugs_weapons;30;108.0
0120;1997;person;271;973.0
0120;1997;theft;1891;6790.0
0120;1997;total;2638;9473.0
0120;1997;vandalism;246;883.0
0120;1998;burglary;701;2427.0
0120;1998;drugs_weapons;29;100.0
0120;1998;person;349;1208.0
0120;1998;theft;2098;7263.0
0120;1998;total;2980;10316.0
0120;1998;vandalism;284;983.0
