kommun;year;value
1783;2021;19331.948412
1783;2022;20683.234101
1783;2023;24641.383495
1783;2024;24468.733579
1783;2025;41525.167785
1784;2015;258.697419
1784;2016;419.513318
1784;2017;692.171911
1784;2018;1372.095698
1784;2019;3912.843156
1784;2020;5358.09039
1784;2021;6237.294036
1784;2022;6543.357076
1784;2023;6365.158477
1784;2024;6816.338513
1784;2025;37122.756612
1785;2015;12962.579721
1785;2016;14423.143351
1785;2017;12796.846188
1785;2018;14193.824714
1785;2019;25693.561954
1785;2020;29776.783398
1785;2021;33423.421668
1785;2022;30053.995539
1785;2023;36275.664513
1785;2024;50881.938385
1785;2025;51525.955544
1814;2015;0.0
1814;2016;0.0
1814;2017;0.0
1814;2018;650.936422
1814;2019;780.665533
1814;2020;934.844193
1814;2021;1102.871091
1814;2022;1695.979899
1814;2023;48915.872647
1814;2024;48601.208459
1814;2025;45674.256506
1860;2015;9423.620934
1860;2016;6183.219478
1860;2017;4058.125111
1860;2018;4062.444563
1860;2019;2181.946155
1860;2020;2100.194381
1860;2021;317.807238
1860;2022;282.101865
1860;2023;57604.875387
1860;2024;53328.047206
1860;2025;50818.788216
1861;2015;32347.798053
1861;2016;31117.835005
1861;2017;30134.446397
1861;2018;17529.208976
1861;2019;17664.637208
1861;2020;17650.781739
1861;2021;15888.490985
1861;2022;14134.683855
1861;2023;41376.108921
1861;2024;44551.054591
1861;2025;46016.664594
1862;2015;20718.851514
1862;2016;17877.510667
1862;2017;16852.813405
1862;2018;16894.464563
1862;2019;16855.05897
1862;2020;24196.033641
1862;2021;28622.404028
1862;2022;33827.911857
1862;2023;39646.040398
1862;2024;49275.05928
1862;2025;53382.37523
1863;2015;16907.565415
1863;2016;15880.638834
1863;2017;14040.652694
1863;2018;12558.499212
1863;2019;12617.709967
1863;2020;13051.334107
1863;2021;21827.566068
1863;2022;39738.13101
1863;2023;44216.012317
1863;2024;65585.983231
1863;2025;74560.535971
1864;2015;41778.206169
1864;2016;21324.410707
1864;2017;38748.077701
1864;2018;36729.880314
1864;2019;35001.676797
1864;2020;23311.938383
1864;2021;19756.733275
1864;2022;4649.103387
1864;2023;18379.850238
1864;2024;23117.418173
1864;2025;21202.797203
1880;2015;83635.180305
1880;2016;86063.519992
1880;2017;93426.559142
1880;2018;99918.965618
1880;2019;99690.02415
1880;2020;77178.090689
1880;2021;85885.703912
1880;2022;93720.056688
1880;2023;91097.064287
1880;2024;92631.353815
1880;2025;102960.538189
1881;2015;3010.352652
1881;2016;6770.132183
1881;2017;9702.827118
1881;2018;9947.365989
1881;2019;8945.901187
1881;2020;6934.909889
1881;2021;5851.607659
1881;2022;5191.37862
1881;2023;3034.597619
1881;2024;21835.148362
1881;2025;21374.586367
1882;2015;28241.23397
1882;2016;35503.102287
1882;2017;38210.201342
1882;2018;39923.716079
1882;2019;41109.607102
1882;2020;43755.731846
1882;2021;50774.839605
1882;2022;62736.279029
1882;2023;76104.286461
1882;2024;117460.399059
1882;2025;119293.357934
1883;2015;14665.224714
1883;2016;13966.402515
1883;2017;14169.894453
1883;2018;14499.293205
1883;2019;14596.655805
1883;2020;14600.006609
1883;2021;14486.348852
1883;2022;14527.676861
1883;2023;14622.649615
1883;2024;14631.278993
1883;2025;32302.509294
1884;2015;0.0
1884;2016;0.0
1884;2017;0.0
1884;2018;0.0
1884;2019;0.0
1884;2020;0.0
1884;2021;0.0
1884;2022;6443.323054
1884;2023;7130.987108
1884;2024;6964.84632
1884;2025;6693.200038
1885;2015;516.170104
1885;2016;737.449461
1885;2017;647.101173
1885;2018;540.827147
1885;2019;408.470409
1885;2020;551.56818
1885;2021;536.375577
1885;2022;597.269042
1885;2023;23179.031427
1885;2024;31511.732423
1885;2025;42062.700965
1904;2015;11011.18068
1904;2016;10766.990291
1904;2017;10423.155044
1904;2018;10062.768119
1904;2019;9779.877077
1904;2020;7412.734769
1904;2021;6164.722032
1904;2022;3347.796456
1904;2023;7630.634775
1904;2024;7976.268797
1904;2025;12044.874823
1907;2015;28970.255383
1907;2016;28276.667661
1907;2017;28008.07014
1907;2018;27042.426646
1907;2019;26808.133782
1907;2020;26515.160523
1907;2021;26173.680562
1907;2022;25153.094787
1907;2023;24021.038856
1907;2024;22378.872524
1907;2025;22749.409226
1960;2015;0.0
1960;2016;0.0
1960;2017;0.0
1960;2018;0.0
1960;2019;0.0
1960;2020;0.0
1960;2021;0.0
1960;2022;0.0
1960;2023;0.0
1960;2024;0.0
1960;2025;62817.076023
1961;2015;6461.936721
1961;2016;13488.985672
1961;2017;23205.150644
1961;2018;28777.214877
1961;2019;33607.610425
1961;2020;31766.768293
1961;2021;28681.960501
1961;2022;36740.470349
1961;2023;40692.56635
1961;2024;48207.950519
1961;2025;50826.686747
1962;2015;15628.985008
1962;2016;13757.377049
1962;2017;13371.290545
1962;2018;13287.316652
1962;2019;13532.513181
1962;2020;13265.840461
1962;2021;13125.656283
1962;2022;11729.162964
1962;2023;11781.765452
1962;2024;11738.811445
1962;2025;24829.377686
1980;2015;36359.184123
1980;2016;35702.828653
1980;2017;36407.948899
1980;2018;47320.269862
1980;2019;46978.896325
1980;2020;56144.441373
1980;2021;74459.761027
1980;2022;74147.554726
1980;2023;76963.541732
1980;2024;81324.626169
1980;2025;79830.997271
1981;2015;13794.51807
1981;2016;12295.083434
1981;2017;11388.449472
1981;2018;19206.434081
1981;2019;29500.349437
1981;2020;29794.419906
1981;2021;28992.912427
1981;2022;30374.352726
1981;2023;49202.818011
1981;2024;61616.031169
1981;2025;67249.734513
1982;2015;485.398163
1982;2016;267.460022
1982;2017;0.0
1982;2018;0.0
1982;2019;0.0
1982;2020;0.0
1982;2021;0.0
1982;2022;0.0
1982;2023;9685.751021
1982;2024;15491.126071
1982;2025;28335.346496
1983;2015;8369.174786
1983;2016;13691.136802
1983;2017;15301.079798
1983;2018;20286.394092
1983;2019;28173.113603
1983;2020;26785.892275
1983;2021;17402.173497
1983;2022;23389.931087
1983;2023;25425.55239
1983;2024;32635.74177
1983;2025;52824.560718
1984;2015;26231.202194
1984;2016;28479.536791
1984;2017;31062.006603
1984;2018;30418.658933
1984;2019;32620.572159
1984;2020;17060.047012
1984;2021;13974.255319
1984;2022;1963.715118
1984;2023;1910.369947
1984;2024;1848.640916
1984;2025;1790.365425
2021;2015;23286.820551
2021;2016;22770.918071
2021;2017;23551.850227
2021;2018;24899.515205
2021;2019;27128.288024
2021;2020;22397.000441
2021;2021;19698.051948
2021;2022;17730.882353
2021;2023;30268.133175
2021;2024;36866.558057
2021;2025;36554.072096
2023;2015;36816.560383
2023;2016;36192.944208
2023;2017;15886.988333
2023;2018;9059.370671
2023;2019;11683.862695
2023;2020;14357.17795
2023;2021;11690.741828
2023;2022;15864.301033
2023;2023;22901.65692
2023;2024;33703.627853
2023;2025;37675.137363
2026;2015;45433.177895
2026;2016;47830.859951
2026;2017;48911.922664
2026;2018;50226.462857
2026;2019;48938.955745
2026;2020;47613.316631
2026;2021;54655.684631
2026;2022;68088.198876
2026;2023;77489.549377
2026;2024;92269.934515
2026;2025;111006.015329
2029;2015;14343.468615
2029;2016;16797.639776
2029;2017;16666.943734
2029;2018;16506.200962
2029;2019;18332.384387
2029;2020;20434.08645
2029;2021;23183.112666
2029;2022;27034.382176
2029;2023;20376.425856
2029;2024;18658.672616
2029;2025;17393.703223
2031;2015;127.985872
2031;2016;178.887251
2031;2017;153.363477
2031;2018;126.707619
2031;2019;100.639269
2031;2020;90.341269
2031;2021;4354.678916
2031;2022;72.394519
2031;2023;63.303749
2031;2024;54.00982
2031;2025;44.634724
2034;2015;1832.444444
2034;2016;2172.423845
2034;2017;2892.841586
2034;2018;3098.084736
2034;2019;3569.816235
2034;2020;1720.953904
2034;2021;1531.945649
2034;2022;1400.922988
2034;2023;1240.44586
2034;2024;12123.485623
2034;2025;12667.63257
2039;2015;1662.97086
2039;2016;4386.986788
2039;2017;1963.921902
2039;2018;2051.818565
2039;2019;4088.749822
2039;2020;2076.35433
2039;2021;2260.295371
2039;2022;2465.089769
2039;2023;3178.669361
2039;2024;3007.555943
2039;2025;4959.156785
2061;2015;31596.756256
2061;2016;30818.315153
2061;2017;30311.455847
2061;2018;29650.362485
2061;2019;29145.768313
2061;2020;28712.640501
2061;2021;27949.967987
2061;2022;21921.900751
2061;2023;17379.455695
2061;2024;17370.414857
2061;2025;14965.60699
2062;2015;9545.246505
2062;2016;10891.217516
2062;2017;12261.328489
2062;2018;15543.109367
2062;2019;19156.961407
2062;2020;17063.244193
2062;2021;16922.980164
2062;2022;11533.19793
2062;2023;9599.970783
2062;2024;10554.089581
2062;2025;26985.699594
2080;2015;13147.295924
2080;2016;12852.769351
2080;2017;12149.468632
2080;2018;12521.867522
2080;2019;17900.094267
2080;2020;21132.912243
2080;2021;24805.672076
2080;2022;29035.290381
2080;2023;33161.137599
2080;2024;38820.18517
2080;2025;44598.559376
2081;2015;2178.120342
2081;2016;595.496473
2081;2017;200.177046
2081;2018;200.731464
2081;2019;2100.836661
2081;2020;2821.468107
2081;2021;2864.661079
2081;2022;2845.260455
2081;2023;5132.154248
2081;2024;14358.716578
2081;2025;97990.964677
2082;2015;5850.849305
2082;2016;8591.105899
2082;2017;11280.645161
2082;2018;15156.432617
2082;2019;18837.915803
2082;2020;23494.220948
2082;2021;22302.615193
2082;2022;32138.319581
2082;2023;43977.230277
2082;2024;49581.395349
2082;2025;56371.680627
2083;2015;0.0
2083;2016;0.0
2083;2017;0.0
2083;2018;0.0
2083;2019;49.577174
2083;2020;47.600569
2083;2021;45.542761
2083;2022;112.219128
2083;2023;616.422287
2083;2024;630.783326
2083;2025;634.941764
2084;2015;40360.914797
